,crid,officer_id,Findings Sustained
93,1044158,5216,0.0
94,1044158,7430,0.0
95,1044161,0,0.0
96,1044164,307,0.0
97,1044164,1403,0.0
98,1044171,4889,0.0
99,1044171,7815,0.0
100,1044172,2925,0.0
101,1044172,4696,0.0
102,1044173,2644,0.0
103,1044173,5408,0.0
104,1044175,0,0.0
105,1044178,0,0.0
106,1044182,5860,0.0
107,1044183,2935,0.0
108,1044183,4551,0.0
109,1044196,0,0.0
110,1044200,0,0.0
111,1044204,3222,0.0
112,1044204,7961,0.0
113,1044205,3032,0.0
114,1044208,0,0.0
115,1044209,2155,0.0
116,1044209,8786,0.0
117,1044211,0,0.0
118,1044214,0,0.0
119,1044215,3108,0.0
120,1044217,6448,0.0
121,1044220,8773,0.0
122,1044225,1278,0.0
123,1044227,0,0.0
124,1044229,0,0.0
125,1044234,1271,0.0
126,1044234,4556,0.0
127,1044234,6177,0.0
128,1044241,2577,1.0
129,1044244,0,0.0
130,1044246,2859,0.0
131,1044249,7546,0.0
132,1044250,4394,0.0
133,1044250,5679,0.0
134,1044252,4790,0.0
135,1044252,7384,0.0
136,1044253,4167,0.0
137,1044254,3719,0.0
138,1044254,6656,0.0
139,1044260,0,0.0
140,1044261,8299,1.0
141,1044264,0,0.0
142,1044266,131,1.0
143,1044270,0,0.0
144,1044271,6121,0.0
145,1044271,6914,0.0
146,1044272,4190,0.0
147,1044273,3638,0.0
148,1044274,7399,1.0
149,1044277,0,0.0
150,1044281,5251,1.0
151,1044281,8605,1.0
152,1044283,0,0.0
153,1044288,1687,0.0
154,1044288,1912,0.0
155,1044290,2407,0.0
156,1044290,6615,0.0
157,1044292,46,0.0
158,1044292,4805,0.0
159,1044293,0,0.0
160,1044299,46,0.0
161,1044300,0,0.0
162,1044301,0,0.0
163,1044302,1820,1.0
164,1044304,0,0.0
165,1044305,2269,0.0
166,1044307,7303,1.0
167,1044308,8281,0.0
168,1044308,8700,0.0
169,1044309,0,0.0
170,1044312,6913,0.0
171,1044314,0,0.0
172,1044315,2986,0.0
173,1044315,4460,0.0
174,1044316,3496,0.0
175,1044319,6812,0.0
176,1044320,5973,0.0
177,1044321,5306,1.0
178,1044322,8172,0.0
179,1044327,4474,0.0
180,1044331,5051,1.0
181,1044333,3047,0.0
182,1044333,6762,1.0
183,1044335,8754,0.0
184,1044337,3873,0.0
185,1044339,0,0.0
186,1044342,0,0.0
187,1044345,4,0.0
188,1044345,3641,0.0
189,1044346,0,0.0
190,1044348,2771,0.0
191,1044348,6320,0.0
192,1044349,0,0.0
193,1044351,807,0.0
194,1044351,2708,0.0
195,1044352,7313,1.0
196,1044355,2800,0.0
197,1044355,7825,0.0
198,1044356,6660,0.0
199,1044357,0,0.0
200,1044358,7450,1.0
201,1044359,1525,0.0
202,1044359,1851,0.0
203,1044362,0,0.0
204,1044363,363,0.0
205,1044363,3969,0.0
206,1044364,0,0.0
207,1044371,0,0.0
208,1044374,1525,0.0
209,1044374,1851,0.0
210,1044377,0,0.0
211,1044378,375,0.0
212,1044378,4014,0.0
213,1044379,0,0.0
214,1044380,0,0.0
215,1044381,0,0.0
216,1044382,5419,0.0
217,1044382,8840,0.0
218,1044386,0,0.0
219,1044388,0,0.0
220,1044393,5419,0.0
221,1044396,8683,0.0
222,1044400,0,0.0
223,1044401,0,0.0
224,1044407,0,0.0
225,1044410,2264,0.0
226,1044411,0,0.0
227,1044413,7357,0.0
228,1044413,7875,0.0
229,1044415,0,0.0
230,1044419,3275,0.0
231,1044421,0,0.0
232,1044425,2725,0.0
233,1044425,3783,0.0
234,1044431,0,0.0
235,1044432,0,0.0
236,1044435,0,0.0
237,1044437,5443,0.0
238,1044442,7089,0.0
239,1044444,1787,0.0
240,1044444,8643,0.0
241,1044449,0,0.0
242,1044450,7648,0.0
243,1044451,8013,0.0
244,1044454,0,0.0
245,1044456,0,0.0
246,1044459,5676,0.0
247,1044459,8735,0.0
248,1044460,0,0.0
249,1044463,3353,0.0
250,1044463,3636,0.0
251,1044469,0,0.0
252,1044471,2509,0.0
253,1044472,0,0.0
254,1044473,6555,0.0
255,1044475,2098,1.0
256,1044475,4755,1.0
257,1044476,7089,0.0
258,1044476,7925,0.0
259,1044477,0,0.0
260,1044485,574,0.0
261,1044485,8838,0.0
262,1044488,0,0.0
263,1044490,6231,0.0
264,1044490,7409,0.0
265,1044490,8038,0.0
266,1044491,2935,0.0
267,1044491,4551,0.0
268,1044493,1595,0.0
269,1044495,0,0.0
270,1072910,8838,0.0
271,1044499,8762,0.0
272,1044501,0,0.0
273,1044503,1288,0.0
274,1044503,6301,0.0
275,1044505,3168,0.0
276,1044505,6301,0.0
277,1044509,37,0.0
278,1044509,861,0.0
279,1044515,2785,0.0
280,1044515,5229,0.0
281,1044515,8572,0.0
282,1044519,0,0.0
283,1044525,2626,0.0
284,1044525,8296,0.0
285,1044526,3353,0.0
286,1044526,3636,0.0
287,1044529,0,0.0
288,1044530,0,0.0
289,1044532,0,0.0
290,1044533,0,0.0
291,1044534,0,0.0
292,1044535,2499,0.0
293,1044535,8686,0.0
294,1044538,2259,0.0
295,1044538,6148,0.0
296,1044539,444,0.0
297,1044539,6440,0.0
298,1044541,810,0.0
299,1044541,7648,0.0
300,1044543,3179,0.0
301,1044543,3543,0.0
302,1044543,4354,0.0
303,1044543,6069,0.0
304,1044543,6156,0.0
305,1044543,7314,0.0
306,1044543,8381,0.0
307,1044544,698,0.0
308,1044544,7948,0.0
309,1044559,2825,0.0
310,1044560,0,0.0
311,1044563,0,0.0
312,1044567,0,0.0
313,1044568,0,0.0
314,1044569,1331,0.0
315,1044569,5201,0.0
316,1044570,0,0.0
317,1044571,0,0.0
318,1044576,0,0.0
319,1044578,0,0.0
320,1044581,0,0.0
321,1044582,2123,0.0
322,1044586,0,0.0
323,1044588,0,0.0
324,1044589,7957,0.0
325,1044600,6241,0.0
326,1044600,7695,0.0
327,1044601,3582,0.0
328,1044603,2263,0.0
329,1044603,8307,0.0
330,1044603,8780,0.0
331,1044604,0,0.0
332,1044606,0,0.0
333,1044607,0,0.0
334,1044609,0,0.0
335,1044610,0,0.0
336,1044611,0,0.0
337,1044613,1571,1.0
338,1044614,2234,0.0
339,1044615,1522,0.0
340,1044615,7247,0.0
341,1044616,799,0.0
342,1044616,3708,0.0
343,1044616,5497,0.0
344,1044617,5838,0.0
345,1044617,6581,0.0
346,1044618,712,0.0
347,1044618,8058,0.0
348,1044619,1739,0.0
349,1044619,8054,0.0
350,1044621,5871,0.0
351,1044621,7902,0.0
352,1044624,621,0.0
353,1044624,5278,0.0
354,1044625,6403,0.0
355,1044625,6853,0.0
356,1044626,5313,1.0
357,1044630,0,0.0
358,1044631,4289,0.0
359,1044631,5136,0.0
360,1044632,0,0.0
361,1044634,4291,0.0
362,1044636,0,0.0
363,1044637,4001,0.0
364,1044637,4050,0.0
365,1044641,3886,0.0
366,1044648,6855,0.0
367,1044650,8093,0.0
368,1044654,0,0.0
369,1044655,3185,0.0
370,1044658,8296,0.0
371,1044658,8405,0.0
372,1044659,7787,0.0
373,1044659,8348,0.0
374,1044664,1375,0.0
375,1044664,2273,0.0
376,1044664,6894,0.0
377,1044664,7804,0.0
378,1044667,403,0.0
379,1044667,7073,0.0
380,1044668,1819,0.0
381,1044668,5199,0.0
382,1044670,6231,0.0
383,1044670,7409,0.0
384,1044680,0,0.0
385,1044682,814,0.0
386,1044682,3118,0.0
387,1044684,0,0.0
388,1044687,0,0.0
389,1044690,0,0.0
390,1044695,0,0.0
391,1044700,0,0.0
392,1044702,0,0.0
393,1044706,543,0.0
394,1044706,3659,0.0
395,1044711,6162,0.0
396,1044711,6924,0.0
397,1044713,7740,0.0
398,1044714,93,0.0
399,1044714,2334,0.0
400,1044714,5675,0.0
401,1044717,3148,0.0
402,1044720,1085,0.0
403,1044720,5286,0.0
404,1044720,5484,0.0
405,1044726,0,0.0
406,1044727,0,0.0
407,1044728,0,0.0
408,1044729,1219,0.0
409,1044729,6838,0.0
410,1044732,0,0.0
411,1044733,0,0.0
412,1044734,1187,0.0
413,1044734,3588,0.0
414,1044736,6498,0.0
415,1044737,6504,0.0
416,1044747,2159,0.0
417,1044747,5279,0.0
418,1044751,0,0.0
419,1044756,7955,0.0
420,1044757,170,0.0
421,1044757,6344,0.0
422,1044758,1862,1.0
423,1044760,0,0.0
424,1044761,894,0.0
425,1044761,5658,0.0
426,1044766,8772,0.0
427,1044768,0,0.0
428,1044769,973,0.0
429,1044771,0,0.0
430,1044772,8498,1.0
431,1044776,915,0.0
432,1044777,5426,0.0
433,1044777,7995,0.0
434,1044778,0,0.0
435,1044782,0,0.0
436,1044784,0,0.0
437,1044787,0,0.0
438,1044788,4413,0.0
439,1044790,5590,0.0
440,1044790,7675,0.0
441,1044791,0,0.0
442,1044793,7159,0.0
443,1044801,2116,0.0
444,1044801,8396,0.0
445,1044802,1652,0.0
446,1044802,3584,0.0
447,1044803,4919,0.0
448,1044810,0,0.0
449,1044812,0,0.0
450,1044813,2075,0.0
451,1044813,6206,0.0
452,1044814,6451,0.0
453,1044815,3268,0.0
454,1044827,483,0.0
455,1044830,6392,0.0
456,1044835,2017,0.0
457,1044838,7648,0.0
458,1044839,2331,0.0
459,1044839,6826,0.0
460,1044843,1849,0.0
461,1044843,4535,0.0
462,1044846,586,0.0
463,1044846,6738,0.0
464,1044846,7953,0.0
465,1044847,6020,0.0
466,1044847,6586,0.0
467,1044847,7303,0.0
468,1044850,0,0.0
469,1044853,831,0.0
470,1044855,0,0.0
471,1044859,0,0.0
472,1044860,0,0.0
473,1044864,0,0.0
474,1044865,2085,0.0
475,1044865,3845,0.0
476,1044866,4961,0.0
477,1044867,8638,0.0
478,1044874,0,0.0
479,1044882,6149,0.0
480,1044882,8269,0.0
481,1044883,2273,0.0
482,1044883,3461,0.0
483,1044883,4051,0.0
484,1044883,4331,0.0
485,1044883,5910,0.0
486,1044883,8133,0.0
487,1044883,8323,0.0
488,1044884,0,0.0
489,1044885,3491,0.0
490,1044885,4055,0.0
491,1044886,1972,0.0
492,1044886,3273,0.0
493,1044886,7857,0.0
494,1044890,2807,0.0
495,1044890,6131,0.0
496,1044890,7516,0.0
497,1044891,5370,0.0
498,1044891,8684,0.0
499,1044892,0,0.0
500,1044894,0,0.0
501,1044895,0,0.0
502,1044897,0,0.0
503,1044898,364,0.0
504,1044902,3558,0.0
505,1044906,1148,0.0
506,1044906,1522,0.0
507,1044914,7507,0.0
508,1044917,0,0.0
509,1044919,0,0.0
510,1044922,921,0.0
511,1044922,6973,0.0
512,1044922,8001,0.0
513,1044923,1413,0.0
514,1044923,1608,0.0
515,1044925,860,0.0
516,1044928,268,0.0
517,1044928,4684,0.0
518,1044936,6857,0.0
519,1044937,5863,0.0
520,1044939,0,0.0
521,1044942,1983,0.0
522,1044942,3439,0.0
523,1044942,5550,0.0
524,1044943,8657,1.0
525,1044946,0,0.0
526,1044947,4765,0.0
527,1044948,2714,0.0
528,1044948,5927,0.0
529,1044949,0,0.0
530,1044951,1359,0.0
531,1044951,8479,0.0
532,1044958,382,0.0
533,1044958,5104,0.0
534,1044959,0,0.0
535,1044960,3214,0.0
536,1044960,7933,0.0
537,1044963,2188,0.0
538,1044974,0,0.0
539,1044978,0,0.0
540,1044979,0,0.0
541,1044981,513,0.0
542,1044981,1215,0.0
543,1044981,2331,0.0
544,1044981,7650,0.0
545,1044982,3892,0.0
546,1044982,7603,0.0
547,1044986,1506,0.0
548,1044986,2512,0.0
549,1044986,8799,1.0
550,1044987,4869,0.0
551,1044990,846,0.0
552,1044990,4779,0.0
553,1044992,5377,0.0
554,1044992,8831,0.0
555,1044994,0,0.0
556,1044997,4178,0.0
557,1044997,5110,0.0
558,1045002,0,0.0
559,1045003,1018,0.0
560,1045003,3609,0.0
561,1045003,4130,0.0
562,1045003,8732,0.0
563,1045004,8363,0.0
564,1045007,891,0.0
565,1045007,5151,0.0
566,1045011,0,0.0
567,1045012,6527,0.0
568,1045014,0,0.0
569,1045015,0,0.0
570,1045016,886,0.0
571,1045017,0,0.0
572,1045018,4439,1.0
573,1045018,4737,0.0
574,1045018,6033,1.0
575,1045019,2358,0.0
576,1045019,8772,0.0
577,1045022,0,0.0
578,1045023,0,0.0
579,1045024,8553,1.0
580,1045028,2836,0.0
581,1045028,7331,0.0
582,1045034,0,0.0
583,1045038,0,0.0
584,1045046,0,0.0
585,1045048,0,0.0
586,1045049,4,0.0
587,1045049,3641,0.0
588,1045052,0,0.0
589,1045053,406,0.0
590,1045053,2932,0.0
591,1045053,3668,0.0
592,1045053,7476,0.0
593,1045055,2589,0.0
594,1045056,0,0.0
595,1045058,7409,0.0
596,1045060,538,0.0
597,1045060,7046,0.0
598,1045065,0,0.0
599,1045068,0,0.0
600,1045072,0,0.0
601,1045075,0,0.0
602,1045076,657,1.0
603,1045079,0,0.0
604,1045080,0,0.0
605,1045082,2825,0.0
606,1045082,5822,0.0
607,1045083,1605,0.0
608,1045083,2117,0.0
609,1045086,0,0.0
610,1045087,0,0.0
611,1045091,0,0.0
612,1045094,235,0.0
613,1045095,29,0.0
614,1045095,7768,0.0
615,1045095,8637,0.0
616,1045095,8654,0.0
617,1045099,8891,0.0
618,1045104,0,0.0
619,1045105,7763,0.0
620,1045106,944,0.0
621,1045106,2196,0.0
622,1045108,0,0.0
623,1045111,2762,0.0
624,1045111,6732,0.0
625,1045112,6058,1.0
626,1045113,6011,0.0
627,1045120,0,0.0
628,1045121,0,0.0
629,1045123,8766,0.0
630,1045123,8872,0.0
631,1045126,7372,0.0
632,1045126,7847,0.0
633,1045127,4785,0.0
634,1045127,6182,0.0
635,1045127,6929,0.0
636,1045128,5247,0.0
637,1045130,0,0.0
638,1045132,1054,0.0
639,1045132,2594,0.0
640,1045135,0,0.0
641,1045139,30,0.0
642,1045139,4720,0.0
643,1045140,29,0.0
644,1045140,1526,1.0
645,1045140,1772,1.0
646,1045141,0,0.0
647,1045143,3460,0.0
648,1045144,5941,0.0
649,1045146,2372,0.0
650,1045146,3219,0.0
651,1045148,0,0.0
652,1045154,6436,0.0
653,1045154,7996,1.0
654,1045155,5611,0.0
655,1045161,999,0.0
656,1045163,1268,0.0
657,1045163,1950,0.0
658,1045163,6858,0.0
659,1045163,7329,0.0
660,1045166,1285,0.0
661,1045167,3772,1.0
662,1045169,6482,0.0
663,1045169,7577,0.0
664,1045171,3721,0.0
665,1045171,4026,0.0
666,1045173,4732,0.0
667,1045173,8011,0.0
668,1045175,2137,0.0
669,1045177,0,0.0
670,1045178,4613,0.0
671,1045178,5363,0.0
672,1045182,0,0.0
673,1045183,8684,0.0
674,1045184,0,0.0
675,1045188,0,0.0
676,1045189,0,0.0
677,1045192,370,0.0
678,1045192,1048,0.0
679,1045195,2929,0.0
680,1045203,6461,1.0
681,1045204,0,0.0
682,1045206,2122,0.0
683,1045206,6999,0.0
684,1045209,4761,0.0
685,1045209,5291,0.0
686,1045213,0,0.0
687,1045214,4016,0.0
688,1045215,0,0.0
689,1045217,0,0.0
690,1045218,2080,0.0
691,1045218,3057,0.0
692,1045229,0,0.0
693,1045231,4411,0.0
694,1045231,8585,0.0
695,1045232,0,0.0
696,1045235,0,0.0
697,1045236,0,0.0
698,1045237,0,0.0
699,1045238,4416,0.0
700,1045238,5150,0.0
701,1045240,362,0.0
702,1045240,6340,0.0
703,1045240,8340,0.0
704,1045242,0,0.0
705,1045243,874,0.0
706,1045243,6224,0.0
707,1045243,6588,0.0
708,1045243,7073,0.0
709,1045248,484,0.0
710,1045250,0,0.0
711,1045251,4268,0.0
712,1045251,4466,0.0
713,1045251,5064,0.0
714,1045253,8340,0.0
715,1045254,0,0.0
716,1045256,2847,0.0
717,1045256,4719,0.0
718,1045257,0,0.0
719,1045260,2976,1.0
720,1045268,0,0.0
721,1045269,1083,0.0
722,1045269,6092,0.0
723,1045270,96,0.0
724,1045270,1630,0.0
725,1045273,0,0.0
726,1045275,0,0.0
727,1045278,5002,0.0
728,1045284,0,0.0
729,1045286,154,0.0
730,1045286,8422,0.0
731,1045287,0,0.0
732,1045289,0,0.0
733,1045290,7412,0.0
734,1045291,0,0.0
735,1045292,7135,0.0
736,1045293,6556,0.0
737,1045295,2898,0.0
738,1045295,7274,0.0
739,1045295,8773,0.0
740,1045296,685,0.0
741,1045297,5921,0.0
742,1045298,4040,0.0
743,1045300,0,0.0
744,1045304,6823,0.0
745,1045305,1417,0.0
746,1045308,4827,0.0
747,1045309,6363,0.0
748,1045309,7211,0.0
749,1045312,0,0.0
750,1045313,8383,0.0
751,1045315,7928,0.0
752,1045315,8427,0.0
753,1045316,4720,1.0
754,1045318,2094,0.0
755,1045320,188,0.0
756,1045320,1787,0.0
757,1045320,8130,0.0
758,1045325,1848,0.0
759,1045325,2840,0.0
760,1045325,4436,0.0
761,1045326,3521,0.0
762,1045326,7303,1.0
763,1045334,0,0.0
764,1045335,7259,0.0
765,1045336,0,0.0
766,1045337,2029,0.0
767,1045337,4457,0.0
768,1045337,8724,0.0
769,1045344,5958,0.0
770,1045346,5560,0.0
771,1045347,7302,0.0
772,1045347,8046,0.0
773,1045353,0,0.0
774,1045354,0,0.0
775,1045361,2515,0.0
776,1045361,4029,0.0
777,1045362,1722,0.0
778,1045362,8556,0.0
779,1045364,7313,0.0
780,1045368,1104,0.0
781,1045373,4952,0.0
782,1045373,7235,0.0
783,1045374,1214,0.0
784,1045376,2163,1.0
785,1045377,66,0.0
786,1045377,1225,0.0
787,1045377,7380,0.0
788,1045378,1084,0.0
789,1045379,0,0.0
790,1045380,3340,0.0
791,1045380,4357,0.0
792,1045380,6150,0.0
793,1045380,7076,0.0
794,1045382,2052,1.0
795,1045384,1902,0.0
796,1045387,8762,0.0
797,1045389,5372,0.0
798,1045391,327,0.0
799,1045394,192,0.0
800,1045397,6180,0.0
801,1045397,8881,0.0
802,1045398,0,0.0
803,1045399,519,0.0
804,1045399,776,0.0
805,1045399,1589,0.0
806,1045405,0,0.0
807,1045406,922,1.0
808,1045408,4294,0.0
809,1045410,8099,0.0
810,1045411,0,0.0
811,1045416,4741,0.0
812,1045417,0,0.0
813,1045418,7393,0.0
814,1045418,8730,0.0
815,1045429,0,0.0
816,1045430,3915,0.0
817,1045430,4725,0.0
818,1045430,5503,0.0
819,1045430,8493,0.0
820,1045430,8565,0.0
821,1045430,8717,0.0
822,1045432,4363,0.0
823,1045432,8282,0.0
824,1045438,7140,0.0
825,1045439,4693,1.0
826,1045444,4017,0.0
827,1045444,7965,0.0
828,1045446,5545,0.0
829,1045446,8869,0.0
830,1045450,7539,1.0
831,1045451,2163,0.0
832,1045453,0,0.0
833,1045454,0,0.0
834,1045456,5932,0.0
835,1045458,6945,0.0
836,1045459,5154,0.0
837,1045459,6154,0.0
838,1045460,0,0.0
839,1045461,0,0.0
840,1045463,8034,0.0
841,1045464,8266,0.0
842,1045470,0,0.0
843,1045472,5779,0.0
844,1045477,0,0.0
845,1045478,0,0.0
846,1045483,0,0.0
847,1045487,0,0.0
848,1045489,5009,0.0
849,1045490,0,0.0
850,1045498,304,0.0
851,1045498,3486,0.0
852,1045498,5279,0.0
853,1045504,0,0.0
854,1045505,7116,0.0
855,1045506,2207,0.0
856,1045506,6471,0.0
857,1045507,6301,0.0
858,1045513,1916,0.0
859,1045513,4221,0.0
860,1045513,4329,0.0
861,1045513,4534,0.0
862,1045513,4747,0.0
863,1045513,8795,0.0
864,1045516,1434,0.0
865,1045516,5761,0.0
866,1045516,8073,0.0
867,1045517,6524,1.0
868,1045518,2520,0.0
869,1045518,4874,0.0
870,1045519,651,0.0
871,1045520,0,0.0
872,1045524,6260,0.0
873,1045525,5478,0.0
874,1045525,5976,0.0
875,1045525,6289,0.0
876,1045529,2285,0.0
877,1045529,6740,0.0
878,1045531,0,0.0
879,1045537,7011,0.0
880,1045538,8886,0.0
881,1045539,4588,0.0
882,1045539,6769,0.0
883,1045545,635,0.0
884,1045545,6508,0.0
885,1045547,8122,0.0
886,1045547,8591,0.0
887,1045550,2412,0.0
888,1045551,0,0.0
889,1045553,3732,0.0
890,1045556,33,0.0
891,1045556,8775,0.0
892,1045559,7921,1.0
893,1045560,0,0.0
894,1045562,4478,1.0
895,1045564,6857,0.0
896,1045567,0,0.0
897,1045570,0,0.0
898,1045571,2746,0.0
899,1045571,3956,0.0
900,1045571,4531,0.0
901,1045571,4936,0.0
902,1045576,2174,0.0
903,1045576,5265,0.0
904,1045580,7518,0.0
905,1045581,0,0.0
906,1045586,3666,0.0
907,1045588,490,0.0
908,1045591,0,0.0
909,1045596,8754,0.0
910,1045599,4601,0.0
911,1045599,6403,0.0
912,1045599,6853,0.0
913,1045603,2616,0.0
914,1045605,2237,0.0
915,1045605,5194,0.0
916,1045605,6341,0.0
917,1045606,0,0.0
918,1045608,1854,0.0
919,1045610,0,0.0
920,1045613,3529,0.0
921,1045614,118,0.0
922,1045614,1264,0.0
923,1045615,93,0.0
924,1045615,5675,0.0
925,1045617,0,0.0
926,1045618,0,0.0
927,1045620,1983,0.0
928,1045623,0,0.0
929,1045625,2188,0.0
930,1045627,5765,0.0
931,1045627,8326,0.0
932,1045628,1571,0.0
933,1045628,1667,0.0
934,1045628,2450,0.0
935,1045628,2482,0.0
936,1045628,3035,0.0
937,1045628,6985,0.0
938,1045628,8533,0.0
939,1045631,18,0.0
940,1045631,1218,0.0
941,1045631,3487,0.0
942,1045631,5898,0.0
943,1045631,7192,0.0
944,1045632,0,0.0
945,1045636,1225,0.0
946,1045636,1955,0.0
947,1045636,5197,0.0
948,1045637,3291,0.0
949,1045638,1350,0.0
950,1045639,0,0.0
951,1045640,6187,0.0
952,1045641,0,0.0
953,1045643,0,0.0
954,1045645,330,0.0
955,1045645,1832,0.0
956,1045646,3357,0.0
957,1045646,5119,0.0
958,1045652,5701,0.0
959,1045653,663,0.0
960,1045653,3738,0.0
961,1045657,0,0.0
962,1045666,2481,0.0
963,1045667,4091,0.0
964,1045669,408,0.0
965,1045669,5600,0.0
966,1045674,2764,0.0
967,1045674,5270,0.0
968,1045676,4328,0.0
969,1045677,2289,0.0
970,1045678,1035,0.0
971,1045678,7420,0.0
972,1045680,6841,0.0
973,1045681,5281,0.0
974,1045682,5035,0.0
975,1045686,5148,0.0
976,1045691,1358,0.0
977,1045692,7024,0.0
978,1045693,895,0.0
979,1045694,6580,0.0
980,1045699,0,0.0
981,1045701,2643,1.0
982,1045702,7273,0.0
983,1045704,1135,0.0
984,1045704,5967,0.0
985,1045704,6121,0.0
986,1045704,6914,0.0
987,1045705,6496,0.0
988,1045707,1983,0.0
989,1045711,8600,0.0
990,1045712,4086,0.0
991,1045712,5610,0.0
992,1045713,6336,0.0
993,1045714,6648,1.0
994,1045719,0,0.0
995,1045726,0,0.0
996,1045728,2424,0.0
997,1045729,0,0.0
998,1045732,0,0.0
999,1045735,3173,0.0
1000,1045737,0,0.0
1001,1045738,4713,0.0
1002,1045739,2596,0.0
1003,1045741,124,1.0
1004,1045742,0,0.0
1005,1045743,0,0.0
1006,1045745,8815,0.0
1007,1045747,4879,0.0
1008,1045748,0,0.0
1009,1045749,0,0.0
1010,1045753,5940,0.0
1011,1045753,7736,0.0
1012,1045756,0,0.0
1013,1045757,6680,0.0
1014,1045760,4424,0.0
1015,1045760,6450,0.0
1016,1045764,0,0.0
1017,1045765,7888,0.0
1018,1045767,2712,1.0
1019,1045770,17,0.0
1020,1045770,3726,0.0
1021,1045774,0,0.0
1022,1045777,7339,0.0
1023,1045783,0,0.0
1024,1045788,692,0.0
1025,1045795,7886,0.0
1026,1045796,0,0.0
1027,1045800,2438,0.0
1028,1045800,5703,0.0
1029,1045800,7382,0.0
1030,1045801,614,0.0
1031,1045801,2566,0.0
1032,1045802,0,0.0
1033,1045805,4946,0.0
1034,1045805,7410,0.0
1035,1045808,6024,0.0
1036,1045808,6178,0.0
1037,1045809,0,0.0
1038,1045810,1085,0.0
1039,1045810,3568,0.0
1040,1045812,3175,0.0
1041,1045812,3340,0.0
1042,1045812,4030,0.0
1043,1045812,5176,0.0
1044,1045812,5558,0.0
1045,1045816,6034,0.0
1046,1045816,6136,0.0
1047,1045819,4391,0.0
1048,1045819,4680,0.0
1049,1045819,8638,0.0
1050,1045821,8374,0.0
1051,1045825,0,0.0
1052,1045827,2259,0.0
1053,1045828,6580,0.0
1054,1045829,0,0.0
1055,1045833,580,0.0
1056,1045834,0,0.0
1057,1045842,1993,0.0
1058,1045842,2042,0.0
1059,1045842,4736,0.0
1060,1045842,7479,0.0
1061,1045844,3179,0.0
1062,1045844,4542,0.0
1063,1045845,235,0.0
1064,1045845,2522,0.0
1065,1045845,5936,0.0
1066,1045845,7941,0.0
1067,1045845,7996,0.0
1068,1045846,0,0.0
1069,1045851,0,0.0
1070,1045852,3647,0.0
1071,1045852,6168,0.0
1072,1045852,8653,0.0
1073,1045854,0,0.0
1074,1045861,280,0.0
1075,1045861,7032,0.0
1076,1045869,0,0.0
1077,1045871,0,0.0
1078,1045874,5722,0.0
1079,1045875,0,0.0
1080,1045877,0,0.0
1081,1045879,0,0.0
1082,1045884,0,0.0
1083,1045886,4172,0.0
1084,1045887,2768,0.0
1085,1045891,503,0.0
1086,1045891,3881,0.0
1087,1045893,0,0.0
1088,1045894,7047,0.0
1089,1045894,7086,0.0
1090,1045894,8234,0.0
1091,1045895,0,0.0
1092,1045899,2228,0.0
1093,1045899,3808,0.0
